City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hami,42.8,93.45,18.84,23,98,3.76,CN,1694971264
84,ciudad de huitzuco,18.3,-99.35,25.48,72,24,0.89,MX,1694971264
85,lihue,21.9789,-159.3672,25.77,77,40,6.69,US,1694971264
86,lata,40.1629,-8.3327,19.9,84,99,3.6,PT,1694971264
87,thompson,55.7435,-97.8558,17.09,67,40,3.6,CA,1694971265
88,mount gambier,-37.8333,140.7667,10.45,94,99,0.52,AU,1694971265
89,fernie,49.5,-115.0687,20.05,30,97,3.64,CA,1694971265
90,birbhaddar,30.0667,78.2833,25.69,84,96,1.47,IN,1694971266
91,minas de marcona,-15.2119,-75.1103,19.51,60,75,4.64,PE,1694971266
92,puerto natales,-51.7236,-72.4875,4.58,51,11,2.67,CL,1694970976
93,imperial,33.0334,-115.4175,33.03,34,0,0.82,US,1694971266
94,launceston,-41.45,147.1667,9.89,93,100,5.66,AU,1694971267
95,yanam,16.7333,82.2167,26.93,77,100,1.62,IN,1694971215
96,whangarei,-35.7317,174.3239,8.68,97,37,1.88,NZ,1694971267
97,ndende,-2.4008,11.3581,28.71,59,100,2.11,GA,1694971039
98,hit,33.6416,42.8251,33.3,15,0,4.19,IQ,1694971267
99,dudinka,69.4058,86.1778,4.79,78,100,4.28,RU,1694971053
100,naze,28.3667,129.4833,26.51,83,93,3.39,JP,1694971268
101,kijang,35.2442,129.2139,21.85,89,100,1.16,KR,1694971268
102,aasiaat,68.7098,-52.8699,2.19,78,84,0.6,GL,1694971268
103,margaret river,-33.95,115.0667,13.32,64,86,5.11,AU,1694971135
104,queenstown,-31.8976,26.8753,10.68,38,0,2.42,ZA,1694971269
105,brookings,44.3114,-96.7984,19.14,66,0,2.06,US,1694971075
106,esik,43.3552,77.4525,12.68,63,75,1.62,KZ,1694971269
107,along,28.1667,94.7667,23.34,97,59,1.23,IN,1694971269
108,aurangabad,19.8833,75.3333,22.75,86,83,2.62,IN,1694971270
109,talnakh,69.4865,88.3972,4.56,74,100,4.31,RU,1694971270
110,mil'kovo,55.6078,37.7956,13.52,61,66,3.09,RU,1694971270
111,santa ana,33.7456,-117.8678,22.08,82,100,1.54,US,1694971271
112,dabwali,29.95,74.7333,26.6,71,43,4.21,IN,1694971271
113,newman,37.3138,-121.0208,22.81,74,23,1.79,US,1694971271
114,sehwan,26.4279,67.863,34.9,38,53,0.58,PK,1694971272
115,hamilton,39.1834,-84.5333,24.85,58,0,2.57,US,1694970724
116,west island,-12.1568,96.8225,24.99,78,75,6.17,CC,1694971272
117,farafangana,-22.8167,47.8333,22.31,81,0,4.45,MG,1694971272
118,colonia,50.9333,6.95,27.2,60,20,1.54,DE,1694971273
119,keflavik,64.0049,-22.5624,9.24,71,75,6.17,IS,1694971273
120,ta`u,-14.2336,-169.5144,26.63,83,86,8.63,AS,1694971273
121,rurrenabaque,-14.4413,-67.5278,35.83,21,9,4.33,BO,1694971274
122,mili,6.0815,171.735,25.72,90,98,3.51,MH,1694971274
123,vadso,70.0744,29.7487,6.49,87,75,3.6,NO,1694971274
124,kavaratti,10.5669,72.642,27.72,80,58,4.07,IN,1694971086
125,east london,-33.0153,27.9116,15.52,67,0,6.69,ZA,1694971254
126,itoman,26.1247,127.6694,27.43,91,75,3.09,JP,1694971275
127,hermanus,-34.4187,19.2345,11.56,75,3,2.57,ZA,1694971275
128,puerto colombia,10.9878,-74.9547,34.05,62,100,2.44,CO,1694971276
129,dourbali,11.8091,15.8632,29.98,58,84,1.54,TD,1694971276
130,badger,64.8,-147.5333,7.95,89,100,4.63,US,1694971216
131,rabo de peixe,37.8,-25.5833,22.21,99,20,6.17,PT,1694971277
132,itaueira,-7.6033,-43.0256,37.37,19,18,3.72,BR,1694971277
133,bubaque,11.2833,-15.8333,27.97,74,82,4.07,GW,1694971277
134,hilo,19.7297,-155.09,25.16,94,75,2.57,US,1694971278
135,greenwood,34.1668,-82.1165,21.57,58,100,1.54,US,1694970991
136,zheleznogorsk,52.331,35.3711,14.25,60,4,1.56,RU,1694971278
137,justo daract,-33.8594,-65.1828,18.15,20,100,8.36,AR,1694971278
138,olonkinbyen,70.9221,-8.7187,3.05,75,63,8.84,SJ,1694971279
139,shantou,23.3681,116.7148,25.92,94,20,0.0,CN,1694971279
140,kampong chhnang,12.1667,104.55,26.01,85,100,1.72,KH,1694971279
141,boende,-0.2167,20.8667,23.56,83,100,1.67,CD,1694971280
142,tezu,27.9167,96.1667,24.46,87,5,2.51,IN,1694971157
143,st. john's,47.5649,-52.7093,25.66,81,75,6.17,CA,1694971280
144,stanley,54.868,-1.6985,15.77,90,40,3.6,GB,1694971280
145,ballina,-28.8667,153.5667,12.1,89,3,3.72,AU,1694971281
146,jamestown,42.097,-79.2353,21.37,56,20,2.57,US,1694971038
147,dunedin,-45.8742,170.5036,10.45,51,40,3.13,NZ,1694971281
148,port-vila,-17.7338,168.3219,23.21,84,100,7.02,VU,1694971282
149,dzuunharaa,48.8523,106.4579,9.02,92,93,1.28,MN,1694971282
150,tazovsky,67.4667,78.7,7.37,81,100,8.38,RU,1694971279
151,katsuren-haebaru,26.3369,127.8719,27.43,97,75,2.57,JP,1694971282
152,puerto baquerizo moreno,-0.9,-89.6,25.55,83,100,4.12,EC,1694971206
153,zhanibek,49.4167,46.85,19.73,48,100,3.21,KZ,1694971283
154,labytnangi,66.6572,66.4183,5.67,85,99,5.77,RU,1694971283
155,kone,-21.0595,164.8658,18.73,92,10,2.12,NC,1694971283
156,broome,42.2506,-75.833,17.85,82,0,0.45,US,1694971284
157,kachug,53.9606,105.8817,9.07,83,43,1.93,RU,1694971284
158,bermejo,-32.8833,-68.8,18.95,26,20,8.23,AR,1694971284
159,dakhla,23.6848,-15.958,25.01,65,3,10.8,EH,1694971285
160,zag,46.9441,99.165,2.76,78,56,1.95,MN,1694971285
161,wailua homesteads,22.0669,-159.378,25.44,78,40,6.69,US,1694971285
162,menongue,-14.6585,17.691,27.23,11,83,2.1,AO,1694971285
163,tafresh,34.692,50.013,20.1,36,0,4.57,IR,1694971218
164,goure,13.9835,10.2704,36.61,24,59,2.47,NE,1694971286
165,flying fish cove,-10.4217,105.6791,23.82,83,75,5.66,CX,1694971286
166,hawaiian paradise park,19.5933,-154.9731,22.24,97,75,2.57,US,1694971287
167,avarua,-21.2078,-159.775,21.03,83,75,1.03,CK,1694971287
168,mehtar lam,34.6714,70.2094,29.33,53,0,1.25,AF,1694971287
169,labrador city,52.9463,-66.9114,12.95,82,100,5.14,CA,1694971287
170,karasburg,-28.0167,18.75,17.01,18,0,4.4,NA,1694971288
171,krasnyy chikoy,50.3643,108.7512,7.98,96,98,1.21,RU,1694971288
172,shiyan,32.6475,110.7781,22.32,96,100,1.25,CN,1694971289
173,tazacorte,28.629,-17.9293,24.54,73,75,5.14,ES,1694971289
174,west helena,34.5507,-90.6418,28.86,31,0,4.92,US,1694971289
175,yuzhno-kurilsk,44.0306,145.8556,17.69,99,100,3.42,RU,1694971290
176,okap,19.7578,-72.2042,31.97,62,20,5.14,HT,1694971201
177,guerrero negro,27.9769,-114.0611,22.1,66,56,7.24,MX,1694971290
178,cidade velha,14.9167,-23.6167,28.26,69,20,5.66,CV,1694971290
179,waingapu,-9.6567,120.2641,23.69,83,26,4.89,ID,1694971291
180,namibe,-15.1961,12.1522,19.61,87,61,3.71,AO,1694971291
181,weno,7.4515,151.8468,25.97,94,40,0.0,FM,1694971291
182,paso de la patria,-27.3168,-58.572,36.15,30,0,7.65,AR,1694971292
183,pacocha,-17.5833,-71.3333,21.28,67,18,3.68,PE,1694971292
184,ancud,-41.8697,-73.8203,7.7,72,67,1.33,CL,1694971292
185,guangyuan,32.442,105.823,21.44,96,100,1.89,CN,1694971292
186,qaqortoq,60.7167,-46.0333,4.73,42,0,1.25,GL,1694971141
187,remire-montjoly,4.9167,-52.2667,33.02,52,0,4.63,GF,1694971293
188,bardai,11.65,7.2333,27.2,69,88,3.02,NG,1694971294
189,hanceville,34.0607,-86.7675,27.57,38,4,3.85,US,1694971294
190,el calafate,-50.3408,-72.2768,1.25,66,12,1.94,AR,1694971294
191,jiuquan,39.7432,98.5174,15.38,32,66,7.01,CN,1694971295
192,road town,18.4167,-64.6167,31.05,62,40,4.12,VG,1694971282
193,tambacounda,13.7539,-13.7586,31.13,68,44,1.12,SN,1694971295
194,nar'yan-mar,67.6713,53.087,4.83,80,10,3.28,RU,1694971296
195,hailey,43.5196,-114.3153,22.71,34,0,3.6,US,1694971296
196,cabo san lucas,22.8909,-109.9124,34.78,69,0,2.24,MX,1694971110
197,tranqueras,-31.2,-55.75,29.42,57,48,4.7,UY,1694971296
198,san jose del cabo,23.0589,-109.6977,34.77,59,0,1.54,MX,1694971297
199,hotan,37.0997,79.9269,24.57,20,79,3.37,CN,1694971297
200,feicheng,35.2606,117.9675,20.98,78,91,1.61,CN,1694971297
201,freetown,8.484,-13.2299,25.84,78,75,3.09,SL,1694971297
202,aykhal,66.0,111.5,-6.07,99,59,2.4,RU,1694971298
203,zeya,53.75,127.2667,9.44,98,100,1.53,RU,1694971298
204,nova xavantina,-14.6667,-52.35,40.31,17,3,3.33,BR,1694971298
205,salalah,17.0151,54.0924,27.05,94,100,3.09,OM,1694971193
206,vila franca do campo,37.7167,-25.4333,22.71,99,96,5.32,PT,1694971299
207,magnitogorsk,53.4186,59.0472,12.64,78,15,1.81,RU,1694971224
208,lompoc,34.6391,-120.4579,20.99,76,40,3.58,US,1694971299
209,uyuni,-20.4597,-66.825,14.72,15,1,6.37,BO,1694971300
210,talara,-4.5772,-81.2719,27.42,61,0,8.74,PE,1694971219
211,puerto ayora,-0.7393,-90.3518,26.98,92,93,2.68,EC,1694971300
212,constantia,44.1833,28.65,19.38,60,99,4.81,RO,1694971211
213,kuanda,56.3161,116.0806,9.1,78,59,1.64,RU,1694971301
214,shimoda,34.6667,138.95,25.06,88,17,3.55,JP,1694971301
215,tolanaro,-25.0319,46.9987,25.04,65,0,4.12,MG,1694971301
216,puerto deseado,-47.7503,-65.8938,5.98,54,10,3.14,AR,1694971302
217,sarikei,2.1167,111.5167,25.05,95,76,0.52,MY,1694971302
218,gadzhiyevo,69.2551,33.3362,7.58,80,100,2.25,RU,1694971302
219,seosan,36.7817,126.4522,21.29,92,12,1.42,KR,1694971302
220,lewistown,40.5992,-77.5714,14.97,97,40,0.0,US,1694971280
221,cotia,-23.6704,-46.9472,31.93,20,0,3.17,BR,1694971303
222,kruisfontein,-34.0033,24.7314,12.16,77,3,2.83,ZA,1694971304
223,baiti,13.745,-14.7482,30.02,70,71,0.97,SN,1694971304
224,san patricio,28.017,-97.5169,32.31,49,46,3.71,US,1694971304
225,northam,51.0333,-4.2167,18.12,96,91,4.33,GB,1694971305
226,kanniyakumari,8.0833,77.5667,26.51,84,100,6.05,IN,1694971305
227,berezovyy,51.6667,135.7,9.94,77,92,1.7,RU,1694971305
228,conception bay south,47.4999,-52.9981,25.53,78,73,7.55,CA,1694971306
229,carnarvon,-24.8667,113.6333,18.81,78,89,12.03,AU,1694971119
230,kuqa,41.7278,82.9364,21.96,33,26,2.84,CN,1694971306
231,lebanon,36.2081,-86.2911,24.87,73,75,4.12,US,1694971306
232,alo,7.4178,6.7371,26.16,88,93,2.25,NG,1694971307
233,sinabang,2.4803,96.3801,26.16,82,100,1.34,ID,1694971307
234,carutapera,-1.195,-46.02,31.75,53,33,5.53,BR,1694971218
235,vorgashor,67.5833,63.95,4.6,75,100,4.19,RU,1694971307
236,san ignacio de velasco,-16.3667,-60.95,38.69,20,0,6.25,BO,1694971307
237,westport,41.1415,-73.3579,26.42,52,0,3.09,US,1694971308
238,benguela,-12.5763,13.4055,22.62,85,77,2.84,AO,1694971308
239,sabang,5.8933,95.3214,28.2,75,33,3.67,ID,1694971308
240,santa clara,22.4,-79.9667,32.81,52,75,2.06,CU,1694971308
